課程名稱,課程ID,資料來源,先修課程,檔修課程,教授名稱,School
微積分一,CS0001,http://www.youtube.com/D0001,,微積分二,范欽雄,NTUST
微積分二,CS0002,http://www.youtube.com/D0002,微積分一,數位影像處理,范欽雄,NTUST
離散數學,CS0003,http://www.youtube.com/D0003,,編譯程式設計、演算法設計與分析、適地性技術應用與服務,項天瑞,NTUST
線性代數,CS0004,http://www.youtube.com/D0004,,數位影像處理,項天瑞,NTUST
機率與統計,CS0005,http://www.youtube.com/D0005,,,沈上翔,NTUST
程式語言,CS0006,http://www.youtube.com/D0006,,,吳怡樂,NTUST
編譯器設計,CS0007,http://www.youtube.com/D0007,程式語言,,黃元欣,NTUST
工程數學,CS0008,http://www.youtube.com/D0008,離散數學、微積分二、線性代數,,鄭欣明,NTUST
資訊工程導論,CS0009,http://www.youtube.com/D0009,,,花凱龍,NTUST
計算機程式設計,CS0010,http://www.youtube.com/D0010,,,戴文凱,NTUST
計算機程式設計實習,CS0011,http://www.youtube.com/D0011,,,戴文凱,NTUST
物件導向程式設計,CS0012,http://www.youtube.com/D0012,計算機程式設計、計算機程式設計實習,,戴文凱,NTUST
物件導向程式設計實習,CS0013,http://www.youtube.com/D0013,計算機程式設計、計算機程式設計實習,,戴文凱,NTUST
資料結構,CS0014,http://www.youtube.com/D0014,物件導向程式設計實習、物件導向程式設計,演算法、演算法設計與分析、適地性技術應用與服務,戴文凱,NTUST
演算法,CS0015,http://www.youtube.com/D0015,資料結構,,鮑興國,NTUST
軟體工程,CS0016,http://www.youtube.com/D0016,,,鮑興國,NTUST
資料庫系統,CS0017,http://www.youtube.com/D0017,,,吳怡樂,NTUST
計算機網路概論,CS0018,http://www.youtube.com/D0018,資訊工程導論,,沈上翔,NTUST
電子電路,CS0019,http://www.youtube.com/D0019,,,劉一宇,NTUST
數位邏輯設計,CS0020,http://www.youtube.com/D0020,,,劉一宇,NTUST
數位邏輯設計實習,CS0021,http://www.youtube.com/D0021,,,劉一宇,NTUST
計算機組織,CS0022,http://www.youtube.com/D0022,數位邏輯設計、數位邏輯設計實習,,劉一宇,NTUST
作業系統,CS0023,http://www.youtube.com/D0023,計算機組織,,鄭欣明,NTUST
實務專題上,CS0024,http://www.youtube.com/D0024,,實務專題下,黃元欣,NTUST
實務專題下,CS0025,http://www.youtube.com/D0025,實務專題上,,花凱龍,NTUST
MATLAB程式語言,CS0026,http://www.youtube.com/A0001,線性代數、計算機程式設計,,王才沛,NCTU
資料庫系統概論,CS0027,http://www.youtube.com/A0002,資料結構,,彭文志,NCTU
電腦視覺,CS0028,http://www.youtube.com/A0022,演算法,,林奕成,NCTU
數值方法,CS0029,http://www.youtube.com/A0004,線性代數,,林文杰,NCTU
組合數學,CS0030,http://www.youtube.com/A0005,機率與統計、線性代數、離散數學,,蔡錫鈞,NCTU
計算機網路實驗,CS0031,http://www.youtube.com/A0006,物件導向程式設計實習、物件導向程式設計,,趙禧綠,NCTU
圖形識別概論,CS0032,http://www.youtube.com/A0007,機率與統計,,林志青,NCTU
電腦安全概論,CS0033,http://www.youtube.com/A0012,,,林盈達,NCTU
雲端運算與巨量資料分析,CS0034,http://www.youtube.com/A0018,,,王蒞君,NCTU
訊號與系統,CS0035,http://www.youtube.com/A0017,,,蕭子健,NCTU
正規語言與計算理論,CS0036,http://www.youtube.com/A0020,離散數學,,陳穎平,NCTU
正規語言概論,CS0037,http://www.youtube.com/A0016,,,曾文貴,NCTU
車輛定位與電子地圖整合服務,CS0038,http://www.youtube.com/A0019,資料庫系統,,易志偉,NCTU
Android程式設計,CS0039,http://www.youtube.com/A0009,物件導向程式設計,,林巨益,NCTU
機器學習,CS0040,http://www.youtube.com/A0024,線性代數、機率與統計,,李育杰,NCTU
無線網路,CS0041,http://www.youtube.com/A0025,計算機網路概論,,陳志成,NCTU
人工智慧概論,CS0042,http://www.youtube.com/A0015,,,孫春在,NCTU
程式設計,CS0043,http://www.youtube.com/A0011,計算機程式設計,,吳毅成,NCTU
自由開源軟體與專案協作,CS0044,http://www.youtube.com/A0021,計算機程式設計,,莊庭瑞,NCTU
視覺技術於智慧型運輸系統之應用,CS0045,http://www.youtube.com/A0023,物件導向程式設計、電腦視覺,,陳冠文,NCTU
影像處理概論,CS0046,http://www.youtube.com/A0010,機率與統計、線性代數,,莊仁輝,NCTU
演算法設計與分析,CS0047,http://www.youtube.com/C0002,離散數學、物件導向設計、資料結構,基礎程式設計,蕭旭君,NTU
前瞻資訊科技一,CS0048,http://www.youtube.com/C0015,,,陳縕儂,NTU
計算機安全,CS0049,http://www.youtube.com/C0016,,,蕭旭君,NTU
系統程式設計,CS0050,http://www.youtube.com/C0004,,,鄭卜壬,NTU
高等人工智慧,CS0051,http://www.youtube.com/C0017,,,許永真,NTU
個人通訊服務,CS0052,http://www.youtube.com/C0019,,,林風,NTU
生物序列分析演算法,CS0053,http://www.youtube.com/C0020,,,趙坤茂,NTU
計算機網路,CS0054,http://www.youtube.com/C0005,,,周承復,NTU
自動機與形式語言,CS0055,http://www.youtube.com/C0006,,,陳偉松,NTU
機器人學,CS0056,http://www.youtube.com/C0023,,,傅立成,NTU
矩陣計算,CS0057,http://www.youtube.com/C0025,,,顏文明,NTU
虛擬實境,CS0058,http://www.youtube.com/C0026,,,歐陽明,NTU
遊戲設計,CS0059,http://www.youtube.com/C0031,,,陳彥仰,NTU
電腦對局理論,CS0060,http://www.youtube.com/C0032,,,徐讚昇,NTU
數位影像處理,CS0061,http://www.youtube.com/C0028,線性代數、微積分二,,洪一平,NTU
醫學影像處理,CS0062,http://www.youtube.com/C0027,數位影像處理,,張瑞峰,NTU
類神經網路,CS0063,http://www.youtube.com/C0024,,腦理論,劉長遠,NTU
腦理論,CS0064,http://www.youtube.com/C0035,類神經網路,,劉長遠,NTU
計算機概論,CS0065,http://www.youtube.com/C0008,,物件導向設計,鄭卜壬,NTU
物件導向設計,CS0066,http://www.youtube.com/C0010,計算機概論,演算法設計與分析,徐慰中,NTU
基礎程式設計,CS0067,http://www.youtube.com/C0012,,資訊工程專題、編譯程式設計,鄭卜壬,NTU
資訊工程專題,CS0068,http://www.youtube.com/C0014,基礎程式設計,,傅立成,NTU
編譯程式設計,CS0069,http://www.youtube.com/C0013,基礎程式設計、離散數學,,徐慰中,NTU
作業系統概論,CS0070,http://www.youtube.com/C0007,計算機概論,高等作業系統、高效能人工智慧系統,施吉昇,NTU
適地性技術應用與服務,CS0071,http://www.youtube.com/C0036,資料結構、離散數學,,卓政宏,NTU
視訊壓縮技術標準與實務,CS0072,http://www.youtube.com/C0033,基礎程式設計,,童怡新,NTU
高等作業系統,CS0073,http://www.youtube.com/C0018,作業系統概論,,施吉昇,NTU
高效能人工智慧系統,CS0074,http://www.youtube.com/C0034,計算機結構、作業系統概論,,洪士灝,NTU
計算機結構,CS0075,http://www.youtube.com/C0009,計算機概論,高效能人工智慧系統,洪士灝,NTU
計算機程式設計一,CS0076,http://www.youtube.com/B0001,,,陳煥宗,NTHU
深度學習,CS0077,http://www.youtube.com/B0002,計算機程式設計一,,吳尚鴻,NTHU
平行程式,CS0078,http://www.youtube.com/B0003,計算機程式設計一、作業系統,,周志遠,NTHU
計算機程式設計二,CS0079,http://www.youtube.com/B0004,,計算機程式設計一,陳煥宗,NTHU
電腦視覺特效,CS0080,http://www.youtube.com/B0005,,,陳煥宗,NTHU
科學計算,CS0081,http://www.youtube.com/B0006,,微積分二、線性代數,張智星,NTHU
區域網路,CS0082,http://www.youtube.com/B0007,,,黃能富,NTHU
Python語言程式入門,CS0083,http://www.youtube.com/B0008,,,周百祥,NTHU
平行計算概論,CS0084,http://www.youtube.com/B0009,,,李濬屹,NTHU
物聯網概論,CS0085,http://www.youtube.com/B0010,,,黃能富,NTHU
計算方法設計,CS0086,http://www.youtube.com/B0011,,,盧錦隆,NTHU
網路之隨機程序,CS0087,http://www.youtube.com/B0012,機率與統計,,李端興,NTHU
社群網路,CS0088,http://www.youtube.com/B0013,,,李端興,NTHU
圖形理論,CS0089,http://www.youtube.com/B0014,,,蔡明哲,NTHU
高等程式語言,CS0090,http://www.youtube.com/B0015,編譯器設計,計算機程式設計一,李政崑,NTHU
雲端計算,CS0091,http://www.youtube.com/B0016,計算機程式設計一,,李哲榮,NTHU
積體電路設計概論,CS0092,http://www.youtube.com/B0017,,,何宗易,NTHU
類比電路設計入門,CS0093,http://www.youtube.com/B0018,,,李家同,NTHU
密碼與網路安全概論,CS0094,http://www.youtube.com/B0019,,,孫宏民,NTHU
正規語言,CS0095,http://www.youtube.com/B0020,,,張俊盛,NTHU
嵌入式系統概論,CS0096,http://www.youtube.com/B0021,,,金仲達,NTHU
嵌入式軟體開發工具,CS0097,http://www.youtube.com/B0022,,,石維寬,NTHU
FPGA結構及設計自動化,CS0098,http://www.youtube.com/B0023,,,麥偉基,NTHU
數位電視系統,CS0099,http://www.youtube.com/B0024,,,胡龍融,NTHU
計算生物學,CS0100,http://www.youtube.com/B0025,,,盧錦隆,NTHU